Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,19,1,0
Andaman and Nicobar Islands,9,0,0
Bihar,11,0,1
Chandigarh,8,0,0
Chhattisgarh,7,0,0
Delhi,49,6,2
Goa,5,0,0
Gujarat,58,1,5
Haryana,33,17,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,31,1,2
Karnataka,76,5,3
Kerala,182,15,1
Ladakh,13,3,0
Madhya Pradesh,30,0,2
Maharashtra,186,25,6
Manipur,1,0,0
Mizoram,1,0,0
Odisha,3,0,0
Puducherry,1,0,0
Punjab,38,1,1
Rajasthan,55,3,0
Tamil Nadu,49,4,1
Telengana,66,1,1
Uttarakhand,7,2,0
Uttar Pradesh,65,11,0
West Bengal,18,0,1
Total number of confirmed cases in India,1024,96,27
